Item,Description,Cost (USD),Quantity,Link,,,,
PCB + PCBA,"4 layer PCB from JLCPCB including shipping, although the ICM-45686 is out of stock so a 26 USD + shipping budget should be considered for getting it in the future. (2 is the minimum)",289.85,,,,,
PCB Shipping,Cheapest available SF express,11.36,1,,,,,
RF Antenna,For RA-02 433Mhz,3.99,1,https://www.waveshare.com/sma-433-antenna.htm,,,,
GPS Antenna,For GPS,1.99,1,https://www.waveshare.com/gnss-ceramic-antenna.htm,,,,
IPX to SMA,IPEX 1 specifically for RA-02 to Antenna,0.69,1,https://www.waveshare.com/sma-to-ipex-cable.htm?sku=21119,,,,
Waveshare shipping,"Shipping for the three products above, cheapest available",6,1,,,,,
ICM-45686,LCSC (only applicable when out of stock and backorder is needed),13.69,2,https://www.lcsc.com/product-detail/C22459454.html,,,,
1x04 pins,LCSC (MPQ20),0.35,1,https://www.lcsc.com/product-detail/C52016392.html,,,,
1x02 pins,LCSC (MPQ20),0.28,1,https://www.lcsc.com/product-detail/C52016390.html,,,,
1x05 pins,LCSC (MPQ20),0.48,1,https://www.lcsc.com/product-detail/C42431835.html?s_z=n_1x05,,,,
JST XH 4 pin,LCSC (MPQ10),0.53,1,https://www.lcsc.com/product-detail/C144395.html?s_z=n_jst%2520xh%25204%2520pin,,,,
JST XH 2 pin,LCSC (MPQ20),0.71,1,https://www.lcsc.com/product-detail/C158012.html,,,,
LCSC Shipping,Cheapest available,5.51,1,,,,,
Solder paste,Shipping can be free with vouchers (only required when out of ICM-45686 is out of stock),8.87,1,https://shopee.com.my/product/279893497/15397824526?gads_t_sig=VTJGc2RHVmtYMTlxTFVSVVRrdENkVHQ3ZkZSUTMrR3pBWmZZNzdrcnRBMDc0UU9yYXlLakhxeGQyK0NTU1pUVlNYT2xPOWFCWFNSZVlrR29WQnp0djhVdHdxN2dSaHU0OVNLay9JK2c4N1IvZGZvV012SXF1ZGM5U2NqZDJ3ZDdBM1htYjlzakJldVVyeC8wS29LSS9nPT0&gad_source=4&gad_campaignid=22976199729&gbraid=0AAAAADPpYTJMi75gYA5qvVBjPggoNb62F&gclid=CjwKCAiA3-3KBhBiEiwA2x7FdMF4Pk3oS7OH4ZANP17Bu9bXOWcaBZBxwGX6ZC-n5EH759uQXtS3KxoCusUQAvD_BwE,,,,



