Designator,Footprint,Quantity,Value,LCSC Part #
BUZZER1,BUZ-SMD_4P-L7.5-W7.5-P7.59-TL,1,MLT-7525,C95299
C1,0805,1,2.2 uf,
"C10, C11, C3, C4, C9",0805,5,22uF,
C12,0603,1,2.7nF,
C13,0603,1,33pF,
"C14, C15, C16, C17, C20, C21, C22, C23, C24, C25, C26, C31, C32",0402,13,100nF,
C18,0402,1,0.1uF,
C19,0402,1,10uF,
"C2, C7",0603,2,100nF,
C27,0402,1,10pF,
"C28, C29",0402,2,2.2uF,
"C30, C33",0402,2,1uF,
C34,0402,1,22nF,
C36,0402,1,4.7uF,
"C37, C38, C39, C40",0402,4,20pF,
C5,0805,1,10uF,
C6,0805,1,10nF,
C8,0805,1,47pF,
CARD1,TF-SMD_TF-01A,1,TF-01A,C91145
CN1,COMM-SMD_18P-L10.1-W9.7-P1.1-TL_L76-LB,1,ATGM336H-6N-74,C5804601
"D1, D2",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,2,SK6812MINI,
"D10, D3, D4, D6, D7, D8, D9",0402,7,LED,
D5,0603,1,LED,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J2,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,
"J3, J4",PinHeader_1x02_P2.54mm_Vertical,2,Conn_01x02_Pin,
"J5, J6",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,Conn_01x02_Pin,C158012
L1,L_Bourns_SRP5030T,1,5.6uH,C46595886
L2,L_Cenker_CKCS8040,1,3.6uH,C223037
L3,0603,1,47nH,C98076
L4,L0603,1,FCM1608KF-601T03,C141723
"M1, M2, M3, M4, M5, M6",PinHeader_1x03_P2.54mm_Vertical,6,Motor_Servo,
"P1, P2, P3, P4, P5, P6, P7, P8",CONN-TH_2P-P5.00_WJ500V-5.08-2P,8,WJ500V-5.08-2P-14-00A,C8465
"Q1, Q12, Q2, Q4, Q6, Q9",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,6,IRLML6402_C518785,C518785
"Q10, Q11, Q13, Q3, Q5, Q8",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,6,2N7002LT1G,C16338
Q7,SOT-89-3_L4.5-W2.4-P1.50-LS4.0-BR,1,2N2222AU,C21714170
"R1, R2",0201,2,5.1K,
"R10, R11, R12, R13, R14, R19, R27, R30, R33, R37, R41, R45, R49, R8, R9",0201,15,10K,
"R15, R16, R18, R26, R34, R38, R42, R46",0201,8,1k,
R17,0201,1,470,
"R20, R6",0201,2,22.1k,
R21,0402,1,120k,
R22,0402,1,200K,
R23,0201,1,40K,
R24,0201,1,300,
"R25, R3, R32, R36, R40, R44, R48",0402,7,100k,
"R28, R31, R35, R39, R43, R47",0201,6,100,
R29,0402,1,75k,
R4,0402,1,22.1k,
R5,0402,1,115k,
"R50, R51",0402,2,10k,
R7,0201,1,15.8k,
RF1,IPEX-SMD_BWIPX-1-001E,1,BWIPX-1-001E,C496552
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,TS-1088-AR02016,C720477
U1,LGA-10_L2.0-W2.0-P0.50-TL_BMP580,1,BMP580,C22391138
"U10, U11, U12, U13, U8, U9",F0603,6,0438006.WRGT,C206962
U2,LQFP-100_14x14mm_P0.5mm,1,STM32H743VITx,
U3,LGA-14_L3.0-W2.5-P0.50-TL,1,ICM-45686,C22459454
U4,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,LMR51430XDDCR,C5185863
U5,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL-EP-1,1,AP64501SP-13,C2071517
U6,WIRELM-SMD_RA-02-BL,1,RA-02,C90039
U7,VQFN-HR-12_L2.5-W2.0-P0.50-BL,1,TPS2121RUXR,C485916
USB1,USB-C-SMD_TYPE-C16PIN,1,TYPE-C16PIN,C393939
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,X322525MOB4SI,C9006
X2,FC-135R_L3.2-W1.5,1,Q13FC1350000400,C32346
