Designator,Mid X,Mid Y,Rotation,Layer
BUZZER1,94.265,-111.96,180.0,top
C1,73.780001,-116.940002,90.0,top
C10,92.77,-124.720001,90.0,top
C11,94.91,-124.730001,90.0,top
C12,80.335,-134.27,180.0,top
C13,85.1,-124.42,270.0,top
C14,88.69,-64.53,270.0,top
C15,90.57,-62.15,0.0,top
C16,104.130001,-62.350001,180.0,top
C17,101.130001,-63.249999,90.0,top
C18,103.000001,-44.3,90.0,top
C19,90.25,-49.0,270.0,top
C2,80.28,-115.390001,0.0,top
C20,100.259411,-92.990589,225.0,top
C21,98.839411,-70.910589,45.0,top
C22,87.25,-79.5,45.0,top
C23,88.0,-87.0,225.0,top
C24,89.5,-89.410589,135.0,top
C25,108.5,-83.14,315.0,top
C26,91.5,-89.75,135.0,top
C27,79.78,-109.890001,0.0,top
C28,108.0,-85.25,225.0,top
C29,100.5,-71.75,315.0,top
C3,85.28,-113.840001,90.0,top
C30,93.589411,-91.339411,135.0,top
C31,92.75,-92.25,135.0,top
C32,97.73,-94.06,135.0,top
C33,98.46,-93.32,135.0,top
C34,109.715189,-130.879277,90.0,top
C36,109.83,-83.83,225.0,top
C37,82.385697,-84.35311,315.0,top
C38,82.45,-92.95,45.0,top
C39,75.654041,-89.783685,135.0,top
C4,87.78,-113.840001,90.0,top
C40,85.75,-95.5,45.0,top
C5,73.56,-130.64,270.0,top
C6,75.829998,-133.900001,180.0,top
C7,78.55,-126.67,0.0,top
C8,86.99,-124.63,270.0,top
C9,90.65,-124.8,90.0,top
CARD1,75.37,-76.21,270.0,top
CN1,81.0,-49.51,180.0,top
D1,90.05,-103.75,180.0,top
D10,99.945,-137.75,180.0,top
D11,79.5,-62.0,270.0,top
D2,105.45,-103.75,180.0,top
D3,107.694999,-137.700001,0.0,top
D4,89.800002,-51.185001,90.0,top
D5,117.215188,-130.359277,270.0,top
D6,119.05,-106.859999,270.0,top
D7,119.11,-116.972502,90.0,top
D8,119.1,-87.584998,270.0,top
D9,119.14,-100.915,90.0,top
J1,125.46,-64.25,90.0,top
J2,68.06,-101.86,0.0,top
J3,67.0,-111.495,0.0,top
J4,67.0,-118.245,0.0,top
J5,126.47,-138.225,270.0,top
J6,68.8,-126.425,90.0,top
J7,126.85,-54.82,0.0,top
J8,68.8125,-137.335,90.0,top
L1,83.28,-119.39,0.0,top
L2,87.38,-131.2,0.0,top
L3,74.0,-51.0,90.0,top
L4,92.75,-94.5,315.0,top
M1,73.98,-145.41,0.0,top
M2,78.57,-145.41,0.0,top
M3,83.16,-145.41,0.0,top
M4,87.75,-145.41,0.0,top
M5,116.16,-145.41,0.0,top
M6,120.75,-145.41,0.0,top
P1,124.35,-86.61,270.0,top
P2,124.35,-97.01,270.0,top
P3,124.34,-107.4,270.0,top
P4,124.34,-117.8,270.0,top
P5,106.99,-144.25,0.0,top
P6,96.59,-144.25,0.0,top
P7,124.33,-129.26,270.0,top
P8,70.71,-62.35,90.0,top
Q1,115.36,-115.38,0.0,top
Q2,115.729,-95.164,0.0,top
Q3,103.5,-135.03,270.0,top
Q7,101.405,-111.46,180.0,top
R1,120.149999,-69.5,90.0,top
R10,82.49,-78.549999,180.0,top
R11,82.49,-77.35,180.0,top
R12,82.490003,-76.249999,180.0,top
R13,82.490001,-74.049997,180.0,top
R14,88.65,-77.59,135.0,top
R15,104.4,-112.69,270.0,top
R16,109.979999,-137.75,180.0,top
R17,109.0,-80.25,315.0,top
R18,88.02,-50.6,0.0,top
R19,82.73,-110.94,270.0,top
R2,120.25,-73.595,270.0,top
R20,81.53,-109.640001,90.0,top
R21,113.515189,-132.679277,270.0,top
R22,76.75,-63.75,90.0,top
R23,76.75,-60.139999,90.0,top
R24,117.215188,-133.5,90.0,top
R25,119.1,-89.659999,90.0,top
R26,119.05,-108.859999,90.0,top
R27,119.1,-115.040001,90.0,top
R28,111.319,-94.684,180.0,top
R29,113.515189,-130.279277,270.0,top
R3,74.07,-119.99,90.0,top
R30,111.370189,-131.379277,180.0,top
R31,106.07,-131.31,0.0,top
R32,104.09,-130.9,90.0,top
R33,100.74,-131.2,180.0,top
R34,111.719,-96.184,180.0,top
R35,111.65,-114.78,180.0,top
R36,119.059,-98.864,90.0,top
R37,112.269,-92.444,0.0,top
R38,111.719,-98.084,180.0,top
R39,111.15,-116.3,180.0,top
R4,77.460001,-120.890001,180.0,top
R40,111.559999,-117.9,90.0,top
R41,112.31,-112.75,0.0,top
R42,102.45,-130.87,90.0,top
R43,97.94,-137.76,180.0,top
R44,79.5,-64.0,270.0,top
R5,88.56,-123.835,270.0,top
R50,69.5,-113.0,90.0,top
R51,69.5,-119.5,90.0,top
R6,88.56,-125.78,270.0,top
R7,83.46,-124.95,90.0,top
R8,82.445001,-71.849999,180.0,top
R9,82.445001,-70.749999,180.0,top
RF1,68.51,-51.78,180.0,top
SW1,67.95,-87.15,90.0,top
SW2,67.95,-93.15,90.0,top
U1,90.59,-64.17,0.0,top
U10,115.01,-112.67,180.0,top
U11,115.09,-118.1,180.0,top
U12,115.469,-97.844,180.0,top
U13,100.45,-133.87,90.0,top
U2,97.75,-82.25,315.0,top
U3,103.63,-64.64,180.0,top
U4,77.28,-118.39,90.0,top
U5,78.6,-130.07,180.0,top
U6,113.75,-49.25,270.0,top
U7,80.280001,-112.390001,270.0,top
U8,114.95,-92.4,180.0,top
U9,106.57,-134.182498,90.0,top
USB1,124.89,-71.68,90.0,top
X1,79.097651,-87.146179,225.0,top
X2,81.592626,-98.185519,315.0,top
